nsa_ps_action_type_text,0
Research and analysis,135
Advocacy and public awareness campaigns,76
"Developing ethical guidelines, standards, and best practices",74
Other,72
Conferences and workshops,57
Training and courses,42
Establishing partnerships and collaborations,40
Legal assistance and action,12
Non-state mechanisms,2
