nsa_au_action_type_text,0
Research and analysis,367
Conferences and workshops,152
Training and courses,66
"Developing ethical guidelines, standards, and best practices",56
Advocacy and public awareness campaigns,37
Establishing partnerships and collaborations,33
Other,32
Legal assistance and action,1
Non-state mechanisms,1
